task_ID,tag_ID
10000000-0000-0000-0000-000000000001,20000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000001,20000000-0000-0000-0000-000000000003
10000000-0000-0000-0000-000000000002,20000000-0000-0000-0000-000000000002
10000000-0000-0000-0000-000000000002,20000000-0000-0000-0000-000000000005
10000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000002
10000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000004
10000000-0000-0000-0000-000000000004,20000000-0000-0000-0000-000000000004
10000000-0000-0000-0000-000000000004,20000000-0000-0000-0000-000000000003
10000000-0000-0000-0000-000000000005,20000000-0000-0000-0000-000000000004
10000000-0000-0000-0000-000000000005,20000000-0000-0000-0000-000000000006
